epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.761,1.49624,8.17578,0.01558,0.65392,0.11464,0.12353,0.06671,1.27652,6.96196,0.01259,7.88466e-05,7.88466e-05,7.88466e-05
2,150.313,1.29347,5.55303,0.01277,0.56557,0.5179,0.55273,0.34292,1.30825,4.7866,0.0127,0.000156614,0.000156614,0.000156614
3,216.991,1.30712,4.309,0.01284,0.68926,0.7353,0.78253,0.49148,1.31807,3.74663,0.01275,0.000232811,0.000232811,0.000232811
4,279.766,1.31099,3.51194,0.01293,0.7191,0.78265,0.84644,0.55043,1.26256,2.94368,0.0123,0.000230931,0.000230931,0.000230931
5,344.839,1.31116,2.98842,0.01281,0.78646,0.85115,0.91062,0.5896,1.2744,2.40145,0.01236,0.000228575,0.000228575,0.000228575
6,407.516,1.29706,2.56517,0.01276,0.82494,0.86386,0.93244,0.60154,1.29494,2.04257,0.0125,0.000226219,0.000226219,0.000226219
7,473.759,1.29662,2.28019,0.01262,0.85062,0.89226,0.94453,0.61429,1.27798,1.75591,0.01248,0.000223863,0.000223863,0.000223863
8,537.979,1.2833,2.06678,0.01251,0.88929,0.88855,0.95187,0.62338,1.27652,1.5563,0.01237,0.000221507,0.000221507,0.000221507
9,603.529,1.28956,1.88643,0.01259,0.89378,0.90269,0.9604,0.62758,1.29359,1.39585,0.01257,0.00021915,0.00021915,0.00021915
10,665.856,1.28361,1.71379,0.01259,0.89357,0.91597,0.96074,0.62984,1.28363,1.27049,0.01242,0.000216794,0.000216794,0.000216794
11,731.992,1.27317,1.63815,0.01235,0.9146,0.9081,0.96721,0.63426,1.28452,1.18047,0.01239,0.000214438,0.000214438,0.000214438
12,798.139,1.27314,1.55374,0.01238,0.91256,0.91847,0.969,0.63426,1.27981,1.09262,0.01234,0.000212082,0.000212082,0.000212082
13,862.075,1.26219,1.45246,0.01233,0.92894,0.91786,0.96867,0.61326,1.36475,1.0594,0.01315,0.000209726,0.000209726,0.000209726
14,929.315,1.25607,1.39895,0.01219,0.92189,0.92595,0.97233,0.63551,1.27957,0.9839,0.01238,0.000207369,0.000207369,0.000207369
15,992.121,1.25094,1.32929,0.01214,0.93256,0.92909,0.97454,0.63609,1.28858,0.92036,0.01245,0.000205013,0.000205013,0.000205013
16,1058.49,1.24126,1.27304,0.01211,0.91978,0.94071,0.97712,0.63705,1.29413,0.86953,0.01249,0.000202657,0.000202657,0.000202657
17,1121.25,1.24094,1.23589,0.0121,0.92426,0.92711,0.97562,0.63499,1.29286,0.85538,0.01268,0.000200301,0.000200301,0.000200301
18,1187.48,1.23626,1.22048,0.01197,0.92702,0.93983,0.97641,0.63252,1.29192,0.84231,0.01252,0.000197945,0.000197945,0.000197945
19,1250.92,1.23464,1.18698,0.01194,0.92838,0.94857,0.97759,0.62868,1.3159,0.81235,0.01279,0.000195588,0.000195588,0.000195588
20,1316.47,1.22221,1.1653,0.01183,0.93107,0.94765,0.97567,0.62172,1.33373,0.81168,0.0129,0.000193232,0.000193232,0.000193232
21,1378.29,1.2187,1.14638,0.01181,0.94383,0.94004,0.97801,0.63719,1.2945,0.77271,0.01257,0.000190876,0.000190876,0.000190876
22,1443.1,1.21842,1.12127,0.0118,0.93286,0.93766,0.97903,0.63052,1.31409,0.77512,0.01284,0.00018852,0.00018852,0.00018852
23,1507.06,1.20489,1.08939,0.01168,0.93364,0.93567,0.97578,0.61654,1.345,0.79162,0.01316,0.000186164,0.000186164,0.000186164
24,1572.31,1.20114,1.07713,0.01163,0.94072,0.94913,0.97951,0.63439,1.30067,0.74718,0.01262,0.000183807,0.000183807,0.000183807
25,1638.86,1.1921,1.06807,0.01154,0.94469,0.93786,0.97761,0.6223,1.34727,0.7532,0.01317,0.000181451,0.000181451,0.000181451
26,1703.39,1.19131,1.05986,0.01151,0.9417,0.94718,0.97812,0.63266,1.30293,0.73279,0.01256,0.000179095,0.000179095,0.000179095
27,1768.61,1.18776,1.04163,0.0115,0.94901,0.9437,0.97932,0.6375,1.29898,0.72465,0.01264,0.000176739,0.000176739,0.000176739
28,1830.5,1.18246,1.03041,0.0114,0.94333,0.95383,0.98189,0.63516,1.30349,0.71299,0.0127,0.000174383,0.000174383,0.000174383
29,1897.18,1.17975,1.0116,0.01139,0.94594,0.94727,0.97976,0.63529,1.30519,0.70626,0.01272,0.000172026,0.000172026,0.000172026
30,1959.93,1.16957,1.00628,0.01129,0.95045,0.94793,0.97933,0.63457,1.30245,0.70169,0.01258,0.00016967,0.00016967,0.00016967
31,2027.12,1.15991,0.9969,0.01116,0.94431,0.95476,0.97958,0.63179,1.31493,0.70204,0.01283,0.000167314,0.000167314,0.000167314
32,2088.7,1.15687,1.01174,0.01103,0.94701,0.9514,0.98146,0.63542,1.30532,0.69453,0.01267,0.000164958,0.000164958,0.000164958
33,2152.87,1.15202,0.97836,0.01112,0.95578,0.94341,0.9795,0.63489,1.31313,0.69258,0.01268,0.000162602,0.000162602,0.000162602
34,2216.05,1.14428,0.96002,0.01104,0.96032,0.94476,0.98067,0.63451,1.31275,0.68567,0.01277,0.000160245,0.000160245,0.000160245
35,2282.44,1.14683,0.95332,0.01102,0.95453,0.95308,0.98187,0.63144,1.31314,0.67275,0.0128,0.000157889,0.000157889,0.000157889
36,2347.2,1.14129,0.94768,0.01097,0.94937,0.9585,0.98146,0.63259,1.30678,0.67704,0.01267,0.000155533,0.000155533,0.000155533
37,2412.4,1.13809,0.93141,0.01098,0.95971,0.94961,0.98198,0.63116,1.32029,0.66527,0.01283,0.000153177,0.000153177,0.000153177
38,2475.26,1.12598,0.91444,0.01078,0.96606,0.93969,0.98127,0.63069,1.3239,0.66879,0.0128,0.000150821,0.000150821,0.000150821
39,2538.55,1.12787,0.91993,0.01083,0.9612,0.95638,0.98253,0.6366,1.31131,0.65104,0.01271,0.000148464,0.000148464,0.000148464
40,2603.6,1.12725,0.91563,0.01077,0.95188,0.95561,0.98078,0.62974,1.32331,0.67646,0.01285,0.000146108,0.000146108,0.000146108
41,2666.71,1.11351,0.91152,0.01062,0.95649,0.95709,0.98225,0.63196,1.31955,0.6638,0.01286,0.000143752,0.000143752,0.000143752
42,2733.35,1.11098,0.89199,0.01059,0.95888,0.95871,0.98217,0.62773,1.33078,0.65577,0.01304,0.000141396,0.000141396,0.000141396
43,2795.94,1.10764,0.90926,0.01054,0.96113,0.95066,0.98218,0.62496,1.33679,0.66739,0.01316,0.00013904,0.00013904,0.00013904
44,2861.92,1.10006,0.89228,0.01048,0.95522,0.955,0.98145,0.62447,1.33488,0.66693,0.01286,0.000136683,0.000136683,0.000136683
45,2924.55,1.09286,0.86929,0.01042,0.95812,0.9581,0.98134,0.62666,1.3294,0.65476,0.01303,0.000134327,0.000134327,0.000134327
46,2990.79,1.09188,0.87454,0.0104,0.96578,0.95132,0.98123,0.62874,1.32041,0.64806,0.01283,0.000131971,0.000131971,0.000131971
47,3054.21,1.09268,0.89609,0.01033,0.96003,0.95481,0.98135,0.63032,1.32932,0.6506,0.01289,0.000129615,0.000129615,0.000129615
