epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.4795,1.49624,8.17578,0.01558,0.65392,0.11464,0.12353,0.06671,1.27652,6.96196,0.01259,7.88466e-05,7.88466e-05,7.88466e-05
2,161.581,1.29347,5.55303,0.01277,0.56557,0.5179,0.55273,0.34292,1.30825,4.7866,0.0127,0.000156614,0.000156614,0.000156614
3,214.076,1.30712,4.309,0.01284,0.68926,0.7353,0.78253,0.49148,1.31807,3.74663,0.01275,0.000232811,0.000232811,0.000232811
4,266.893,1.31099,3.51194,0.01293,0.7191,0.78265,0.84644,0.55043,1.26256,2.94368,0.0123,0.000230931,0.000230931,0.000230931
5,319.479,1.31116,2.98842,0.01281,0.78646,0.85115,0.91062,0.5896,1.2744,2.40145,0.01236,0.000228575,0.000228575,0.000228575
6,371.793,1.29706,2.56517,0.01276,0.82494,0.86386,0.93244,0.60154,1.29494,2.04257,0.0125,0.000226219,0.000226219,0.000226219
7,425.114,1.29662,2.28019,0.01262,0.85062,0.89226,0.94453,0.61429,1.27798,1.75591,0.01248,0.000223863,0.000223863,0.000223863
8,478.32,1.2833,2.06678,0.01251,0.88929,0.88855,0.95187,0.62338,1.27652,1.5563,0.01237,0.000221507,0.000221507,0.000221507
9,531.102,1.28956,1.88643,0.01259,0.89378,0.90269,0.9604,0.62758,1.29359,1.39585,0.01257,0.00021915,0.00021915,0.00021915
10,584.088,1.28361,1.71379,0.01259,0.89357,0.91597,0.96074,0.62984,1.28363,1.27049,0.01242,0.000216794,0.000216794,0.000216794
