epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1319,1.33735,1.48108,0.01359,0.92842,0.91783,0.97123,0.62137,1.33243,1.07813,0.01293,0.000498771,0.000498771,0.000744472
2,162.381,1.30334,1.32769,0.01328,0.90792,0.93118,0.97409,0.62184,1.34427,1.00928,0.01312,0.000485,0.000485,0.000485
3,248.822,1.29036,1.25663,0.01304,0.93696,0.94256,0.97842,0.62495,1.34679,0.98395,0.01307,0.00047,0.00047,0.00047
4,336.587,1.28153,1.22875,0.01298,0.94607,0.93966,0.97718,0.62035,1.37856,0.9502,0.01311,0.000455,0.000455,0.000455
5,410.591,1.26641,1.17471,0.01277,0.93893,0.94908,0.97841,0.62851,1.33464,0.90849,0.01281,0.00044,0.00044,0.00044
6,479.647,1.242,1.13144,0.01263,0.95338,0.94696,0.97973,0.63124,1.30293,0.87348,0.01263,0.000425,0.000425,0.000425
7,548.496,1.22818,1.09568,0.01244,0.96259,0.94655,0.98206,0.62821,1.33765,0.88705,0.01293,0.00041,0.00041,0.00041
8,623.112,1.22336,1.08581,0.01234,0.95014,0.95673,0.98088,0.62707,1.32945,0.879,0.01286,0.000395,0.000395,0.000395
9,697.218,1.2163,1.04449,0.01233,0.95758,0.9615,0.98301,0.63444,1.3045,0.83926,0.0128,0.00038,0.00038,0.00038
10,764.825,1.19188,1.03316,0.012,0.95699,0.96032,0.98259,0.63588,1.31279,0.835,0.01275,0.000365,0.000365,0.000365
11,830.07,1.17903,1.01678,0.01181,0.96088,0.95596,0.98211,0.61875,1.35069,0.85257,0.01333,0.00035,0.00035,0.00035
12,897.018,1.16044,0.99116,0.01165,0.95766,0.9578,0.98298,0.63,1.33236,0.83383,0.01306,0.000335,0.000335,0.000335
