epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8867,0.98109,2.026,1.09478,0.8677,0.80502,0.85051,0.65658,0.95893,1.83278,1.11535,0.000662069,0.000662069,0.000662069
2,87.9216,0.97887,1.21477,1.10679,0.88336,0.82819,0.87338,0.67826,0.95511,1.20048,1.11398,0.00130243,0.00130243,0.00130243
3,116.274,0.97347,0.97111,1.0926,0.8828,0.79978,0.85119,0.67938,0.89255,1.40167,1.12141,0.00191638,0.00191638,0.00191638
4,143.402,0.93098,0.84485,1.07729,0.8907,0.82046,0.8774,0.69015,0.92269,0.81242,1.10341,0.0018812,0.0018812,0.0018812
5,170.493,0.91683,0.78282,1.06231,0.87327,0.86486,0.90046,0.71008,0.86571,0.80394,1.06474,0.0018416,0.0018416,0.0018416
6,198.274,0.9044,0.78219,1.06812,0.90174,0.85034,0.90454,0.70308,0.88612,0.71624,1.07951,0.001802,0.001802,0.001802
7,225.18,0.87644,0.73166,1.05764,0.89766,0.87452,0.91288,0.73335,0.8318,0.67084,1.05072,0.0017624,0.0017624,0.0017624
8,252.581,0.87092,0.72217,1.062,0.90328,0.88417,0.92461,0.7566,0.77777,0.59995,1.02086,0.0017228,0.0017228,0.0017228
9,280.122,0.8512,0.7123,1.05214,0.90126,0.88107,0.92206,0.74421,0.80469,0.61717,1.02899,0.0016832,0.0016832,0.0016832
10,307.787,0.84148,0.6848,1.03906,0.9,0.85133,0.9171,0.74308,0.79054,0.61376,1.03609,0.0016436,0.0016436,0.0016436
11,334.879,0.83781,0.65566,1.03017,0.89825,0.88624,0.93822,0.76156,0.77662,0.58395,1.02323,0.001604,0.001604,0.001604
12,361.813,0.8339,0.67736,1.04258,0.92627,0.87309,0.92964,0.76207,0.78176,0.59345,1.03408,0.0015644,0.0015644,0.0015644
13,388.7,0.81725,0.65266,1.03215,0.92368,0.87452,0.93608,0.77374,0.75414,0.5744,1.02208,0.0015248,0.0015248,0.0015248
14,415.658,0.8081,0.6496,1.02676,0.88189,0.87924,0.91246,0.74956,0.7679,0.67615,1.03172,0.0014852,0.0014852,0.0014852
15,442.873,0.81178,0.63991,1.0248,0.90312,0.88178,0.93945,0.76598,0.76101,0.56434,1.00489,0.0014456,0.0014456,0.0014456
16,469.745,0.79376,0.62823,1.01871,0.90157,0.88413,0.93483,0.77547,0.73736,0.55751,1.00536,0.001406,0.001406,0.001406
17,496.503,0.78652,0.60962,1.01564,0.90037,0.88996,0.93744,0.76465,0.76664,0.56818,1.01043,0.0013664,0.0013664,0.0013664
18,523.288,0.7843,0.61829,1.00955,0.89333,0.89575,0.94165,0.77277,0.73259,0.55004,1.01719,0.0013268,0.0013268,0.0013268
19,550.956,0.78372,0.59935,1.01683,0.92939,0.88031,0.94587,0.77297,0.7557,0.52857,1.0227,0.0012872,0.0012872,0.0012872
20,577.861,0.76594,0.59243,0.99975,0.9136,0.87772,0.93114,0.77379,0.73369,0.55303,1.0004,0.0012476,0.0012476,0.0012476
21,604.947,0.75582,0.57481,0.9997,0.90057,0.89179,0.94185,0.78674,0.70858,0.52366,0.99582,0.001208,0.001208,0.001208
22,631.787,0.76518,0.57857,0.99455,0.90786,0.89396,0.9436,0.77957,0.72289,0.52033,0.9964,0.0011684,0.0011684,0.0011684
23,658.667,0.75594,0.5906,0.99865,0.91814,0.87838,0.95121,0.7863,0.72466,0.51845,1.01282,0.0011288,0.0011288,0.0011288
24,685.755,0.75651,0.58406,1.01002,0.91085,0.89189,0.94629,0.77833,0.74137,0.52004,1.01542,0.0010892,0.0010892,0.0010892
25,712.74,0.73149,0.55154,0.99136,0.92977,0.88803,0.9512,0.7835,0.71008,0.49665,0.9914,0.0010496,0.0010496,0.0010496
26,739.367,0.74137,0.55738,0.99861,0.91576,0.90154,0.9566,0.79037,0.71171,0.48469,0.9834,0.00101,0.00101,0.00101
27,766.106,0.73022,0.55709,0.99009,0.92111,0.89768,0.95714,0.80466,0.6918,0.48024,0.98926,0.0009704,0.0009704,0.0009704
28,793.553,0.70272,0.53236,0.97636,0.91444,0.90782,0.95014,0.79827,0.69067,0.47048,0.97534,0.0009308,0.0009308,0.0009308
29,820.382,0.72575,0.54204,0.98242,0.90879,0.9112,0.95148,0.78983,0.69058,0.47584,0.98244,0.0008912,0.0008912,0.0008912
30,847.161,0.73114,0.55572,0.98892,0.90667,0.91891,0.95752,0.80025,0.69401,0.47738,0.98684,0.0008516,0.0008516,0.0008516
31,873.962,0.70152,0.51997,0.97106,0.90918,0.9083,0.95424,0.79593,0.69616,0.47941,0.98829,0.000812,0.000812,0.000812
32,901.275,0.70195,0.53425,0.98065,0.90989,0.91313,0.95292,0.79312,0.69724,0.47574,0.98602,0.0007724,0.0007724,0.0007724
33,928.47,0.7147,0.5417,0.9817,0.91845,0.90927,0.95424,0.78819,0.70567,0.4697,0.99132,0.0007328,0.0007328,0.0007328
34,955.296,0.69825,0.52366,0.9751,0.9042,0.911,0.95342,0.79845,0.683,0.46247,0.97704,0.0006932,0.0006932,0.0006932
35,982.545,0.6857,0.5079,0.96622,0.93073,0.89189,0.95173,0.79907,0.68199,0.46023,0.9744,0.0006536,0.0006536,0.0006536
36,1010.39,0.68268,0.50501,0.9673,0.91831,0.92278,0.95475,0.797,0.68965,0.45704,0.98341,0.000614,0.000614,0.000614
37,1037.45,0.684,0.49865,0.96335,0.90813,0.91506,0.95358,0.80005,0.68244,0.45061,0.9831,0.0005744,0.0005744,0.0005744
38,1064.43,0.69365,0.52771,0.97504,0.91845,0.89768,0.95773,0.80508,0.68088,0.45783,0.98199,0.0005348,0.0005348,0.0005348
