epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4253,0.97971,2.52579,1.09735,1,0.03971,0.31176,0.18891,0.8921,3.60669,1.03976,0.000648649,0.000648649,0.000648649
2,66.7713,0.96038,1.39507,1.07597,0.38662,0.36486,0.26173,0.18113,1.10074,2.97561,1.29966,0.00130229,0.00130229,0.00130229
3,86.8227,0.95476,1.10323,1.07234,0.00042,0.12162,5e-05,3e-05,1.98528,891.602,2.3047,0.00194274,0.00194274,0.00194274
4,107.31,0.95907,0.94728,1.08306,0.78659,0.6583,0.72651,0.49878,1.20149,1.60155,1.29302,0.0019406,0.0019406,0.0019406
5,128.245,0.95289,0.85631,1.08109,0.82391,0.69691,0.79815,0.61971,0.94182,1.72357,1.10417,0.0019208,0.0019208,0.0019208
6,148.218,0.90272,0.78931,1.05487,0.88459,0.75462,0.85878,0.66413,0.93294,1.54631,1.10795,0.001901,0.001901,0.001901
7,168.186,0.91903,0.77754,1.07012,0.87499,0.8166,0.87198,0.67944,0.88655,0.88917,1.05591,0.0018812,0.0018812,0.0018812
8,187.87,0.87834,0.71891,1.04123,0.89159,0.84942,0.8924,0.69241,0.87092,0.7135,1.0521,0.0018614,0.0018614,0.0018614
9,207.687,0.88713,0.73528,1.0637,0.89055,0.81681,0.89089,0.70469,0.84853,0.80616,1.02167,0.0018416,0.0018416,0.0018416
10,227.617,0.86045,0.69896,1.04163,0.88234,0.8686,0.90863,0.71893,0.83697,0.67794,1.0301,0.0018218,0.0018218,0.0018218
11,247.494,0.84547,0.67385,1.03172,0.88073,0.88385,0.90504,0.73002,0.81538,0.68303,1.02953,0.001802,0.001802,0.001802
12,266.875,0.84396,0.68127,1.03481,0.87645,0.86486,0.89389,0.68869,0.93772,0.67974,1.08967,0.0017822,0.0017822,0.0017822
13,287.302,0.82912,0.66484,1.02748,0.87956,0.87259,0.90577,0.71448,0.83326,0.70099,1.04183,0.0017624,0.0017624,0.0017624
14,306.929,0.81706,0.64714,1.0194,0.87596,0.88616,0.91109,0.7378,0.82055,0.65573,1.03843,0.0017426,0.0017426,0.0017426
15,326.822,0.82363,0.64873,1.02447,0.90628,0.87736,0.90662,0.71387,0.86216,0.58774,1.04707,0.0017228,0.0017228,0.0017228
16,346.421,0.79613,0.62629,1.00835,0.88739,0.84363,0.88918,0.72305,0.81852,0.77585,1.03614,0.001703,0.001703,0.001703
