dataset,filename,stem,extension,size_bytes,width,height,channels,aspect_ratio,resolution,mode,brightness,contrast,sharpness,blur_score,entropy,md5,phash,path
dataset_A,a8b8f6be161a4bdcabcc947b3e72f8b2.jpg,a8b8f6be161a4bdcabcc947b3e72f8b2,.jpg,184836,1007,669,3,1.505232,673683,RGB,111.93619996348431,71.31388843073654,508.90861947495205,508.90861947495205,7.6676740646362305,503e934b87c83e0b99bce1eb3f4eb2c9,97ca6e97529a2827,data\raw\dataset_A\a8b8f6be161a4bdcabcc947b3e72f8b2.jpg
dataset_A,Capture.JPG,Capture,.jpg,19225,450,226,3,1.99115,101700,RGB,247.24210422812192,31.476479475538458,3643.6974302473486,3643.6974302473486,1.6847774982452393,4ebe82d6f27b175ebd18b29b71614ffd,bc708f9cc18fd807,data\raw\dataset_A\Capture.JPG
dataset_A,IMG20221107210304.jpg,IMG20221107210304,.jpg,4819710,3456,4608,3,0.75,15925248,RGB,83.11808230553144,38.84230497381898,174.09065868323586,174.09065868323586,6.992753982543945,2aa7aa9459bef96d5b457274b0999627,9c9cd9d90d2d4cc9,data\raw\dataset_A\Pics\IMG20221107210304.jpg
dataset_A,IMG20221107210333.jpg,IMG20221107210333,.jpg,5233899,3456,4608,3,0.75,15925248,RGB,81.68241982793612,45.425528767354315,199.3609235964945,199.3609235964945,7.292487144470215,3536c3845c5fd1f30108a519cdc2fb08,d0c322e3d495157f,data\raw\dataset_A\Pics\IMG20221107210333.jpg
dataset_A,IMG20221107210338.jpg,IMG20221107210338,.jpg,5453194,3456,4608,3,0.75,15925248,RGB,83.65957911613056,54.83188547030607,260.2171001077809,260.2171001077809,7.50269079208374,4e347c23409c57572327cb4b56a5f743,b6afc9c002eda786,data\raw\dataset_A\Pics\IMG20221107210338.jpg
dataset_A,IMG20221107210347.jpg,IMG20221107210347,.jpg,5306988,3456,4608,3,0.75,15925248,RGB,78.58901418678064,48.01991312069872,225.65573115828602,225.65573115828602,7.3584489822387695,9bd67c4962c6dbc13c1cd7af1a26d2a9,d69687a1031f9d9c,data\raw\dataset_A\Pics\IMG20221107210347.jpg
dataset_A,IMG20221107210349.jpg,IMG20221107210349,.jpg,5203090,3456,4608,3,0.75,15925248,RGB,75.14537789301617,49.14090674358162,251.56459394629678,251.56459394629678,7.386594295501709,b454cea475d6e4f43c66e9eec1bd6838,ce8c8dbc183e3a33,data\raw\dataset_A\Pics\IMG20221107210349.jpg
dataset_A,IMG20221107210403.jpg,IMG20221107210403,.jpg,5037233,3456,4608,3,0.75,15925248,RGB,65.173702412672,63.67390765297587,184.25370365630005,184.25370365630005,7.253621578216553,931d79f31217d6d1df2e606cd5aa1066,9497cb8b898d8f32,data\raw\dataset_A\Pics\IMG20221107210403.jpg
dataset_A,IMG20221107210405.jpg,IMG20221107210405,.jpg,4977577,3456,4608,3,0.75,15925248,RGB,61.349597255879466,57.07502925805987,171.17709851415444,171.17709851415444,7.117336273193359,fc65c54c2d4925d6f1d97e47e4ce5e4e,93838e0e45657b7a,data\raw\dataset_A\Pics\IMG20221107210405.jpg
dataset_A,IMG20221107210407.jpg,IMG20221107210407,.jpg,5378965,3456,4608,3,0.75,15925248,RGB,64.89909036267441,59.12499920139726,275.97037743718784,275.97037743718784,7.167619228363037,68eedc5aab381d5792a9a466819751bc,9696869e4e47752c,data\raw\dataset_A\Pics\IMG20221107210407.jpg
